Ticker,Cap_Type,Accuracy,Samples,Bullish_Pct
ROUTE.NS,small,0.7317,205,0.2683
UNIPARTS.NS,small,0.7073,205,0.2927
HAPPSTMNDS.NS,mid,0.7073,205,0.2927
HINDUNILVR.NS,large,0.6976,205,0.3024
BATAINDIA.NS,mid,0.6927,205,0.3073
MRF.NS,mid,0.6927,205,0.3073
INDUSINDBK.NS,large,0.6878,205,0.3024
ITC.NS,large,0.678,205,0.322
SIGACHI.NS,small,0.678,205,0.322
KANSAINER.NS,mid,0.678,205,0.322
RHIM.NS,small,0.6732,205,0.3268
ASIANPAINT.NS,large,0.6732,205,0.3171
IDEAFORGE.NS,small,0.6732,205,0.3268
IRFC.NS,small,0.6732,205,0.3268
BALAMINES.NS,small,0.6683,205,0.3317
TATACONSUM.NS,large,0.6683,205,0.3317
TANLA.NS,mid,0.6683,205,0.3317
KOTAKBANK.NS,large,0.6634,205,0.3415
ADANIENT.NS,large,0.6634,205,0.3463
TCS.NS,large,0.6634,205,0.3366
NYKAA.NS,mid,0.6585,205,0.3415
FINEORG.NS,small,0.6585,205,0.3415
CHEMCON.NS,small,0.6585,205,0.3415
RELIANCE.NS,large,0.6585,205,0.3415
NESTLEIND.NS,large,0.6585,205,0.3415
MARUTI.NS,large,0.6585,205,0.3415
IDFCFIRSTB.NS,mid,0.6537,205,0.3463
ICICIBANK.NS,large,0.6537,205,0.3463
HDFCLIFE.NS,large,0.6537,205,0.3463
JYOTHYLAB.NS,small,0.6537,205,0.3415
SAPPHIRE.NS,small,0.6488,205,0.3512
ONGC.NS,large,0.6488,205,0.361
EICHERMOT.NS,large,0.6488,205,0.3512
ASTRAL.NS,small,0.6439,205,0.3463
INTELLECT.NS,mid,0.6439,205,0.3512
SBILIFE.NS,large,0.6439,205,0.3561
GALAXYSURF.NS,small,0.6439,205,0.3561
BHARTIARTL.NS,large,0.6439,205,0.3561
MEDPLUS.NS,small,0.639,205,0.361
BERGEPAINT.NS,mid,0.639,205,0.361
DRREDDY.NS,large,0.639,205,0.361
TITAN.NS,large,0.639,205,0.361
BAJAJFINSV.NS,large,0.639,205,0.361
TTKPRESTIG.NS,small,0.639,205,0.361
AXISBANK.NS,large,0.639,205,0.3561
HEROMOTOCO.NS,large,0.639,205,0.361
SBFC.NS,small,0.6341,205,0.3659
HAPPYFORGE.NS,small,0.6341,205,0.3659
INFY.NS,large,0.6293,205,0.3707
TATASTEEL.NS,large,0.6293,205,0.3707
LATENTVIEW.NS,small,0.6293,205,0.3707
TEJASNET.NS,small,0.6293,205,0.361
LT.NS,large,0.6293,205,0.3707
IRCTC.NS,mid,0.6293,205,0.3805
WIPRO.NS,large,0.6293,205,0.3707
BAJAJ-AUTO.NS,large,0.6293,205,0.3756
BAJFINANCE.NS,large,0.6293,205,0.3707
DIVISLAB.NS,large,0.6293,205,0.3707
